product_category_name,product_category_name_english,category_revenue,category_orders
beleza_saude,health_beauty,1412089.5300000054,9465
relogios_presentes,watches_gifts,1264016.9800000007,5857
cama_mesa_banho,bed_bath_table,1225052.0700000015,10952
esporte_lazer,sports_leisure,1117968.4499999974,8428
informatica_acessorios,computers_accessories,1032603.6499999987,7643
moveis_decoracao,furniture_decor,879835.0299999997,8156
utilidades_domesticas,housewares,758392.2500000007,6795
cool_stuff,cool_stuff,691371.5099999999,3715
automotivo,auto,669319.9200000002,4139
ferramentas_jardim,garden_tools,566991.4500000031,4267
brinquedos,toys,546856.44,4029
bebes,baby,466727.6499999986,2982
perfumaria,perfumery,443171.63000000344,3340
telefonia,telephony,379075.5800000051,4428
moveis_escritorio,office_furniture,335211.3599999999,1668
papelaria,stationery,269575.0500000012,2466
pet_shop,pet_shop,250614.2000000001,1924
pcs,computers,228349.7600000001,199
instrumentos_musicais,musical_instruments,202187.12000000026,651
eletronicos,electronics,200723.09000000078,2729
eletroportateis,small_appliances,197759.4599999998,657
fashion_bolsas_e_acessorios,fashion_bags_accessories,179888.28999999992,1985
malas_acessorios,luggage_accessories,168778.11999999988,1077
consoles_games,consoles_games,167097.73000000053,1089
construcao_ferramentas_construcao,construction_tools_construction,162382.0099999997,916
eletrodomesticos_2,home_appliances_2,118208.52000000008,231
casa_construcao,home_construction,95022.37000000001,596
eletrodomesticos,home_appliances,93301.77999999994,754
moveis_sala,furniture_living_room,85045.07000000004,495
agro_industria_e_comercio,agro_industry_and_commerce,76203.3,206
casa_conforto,home_confort,66438.21999999997,429
climatizacao,air_conditioning,59854.55000000002,289
telefonia_fixa,fixed_telephony,59816.53999999999,255
moveis_cozinha_area_de_servico_jantar_e_jardim,kitchen_dining_laundry_garden_furniture,57072.96999999999,274
audio,audio,56255.31999999999,362
livros_interesse_geral,books_general_interest,54127.56999999999,536
portateis_casa_forno_e_cafe,small_appliances_home_oven_and_coffee,49245.90000000001,73
construcao_ferramentas_iluminacao,construction_tools_lights,47447.14000000001,301
industria_comercio_e_negocios,industry_commerce_and_business,45725.099999999955,264
construcao_ferramentas_seguranca,construction_tools_safety,42107.159999999996,182
alimentos,food,35794.67999999994,499
market_place,market_place,33114.38000000002,305
construcao_ferramentas_jardim,costruction_tools_garden,30283.939999999995,232
fashion_calcados,fashion_shoes,27814.829999999987,257
sinalizacao_e_seguranca,signaling_and_security,27792.590000000033,197
artes,art,27485.53,197
bebidas,drinks,26971.10999999999,361
moveis_quarto,furniture_bedroom,23379.220000000012,103
livros_tecnicos,books_technical,22901.069999999985,263
alimentos_bebidas,food_drink,19337.76999999999,269
construcao_ferramentas_ferramentas,costruction_tools_tools,17934.17,103
fashion_roupa_masculina,fashion_male_clothing,12514.950000000003,125
artigos_de_natal,christmas_supplies,11928.750000000004,150
fashion_underwear_e_moda_praia,fashion_underwear_beach,11160.02,127
tablets_impressao_imagem,tablets_printing_image,8754.609999999997,83
cine_foto,cine_photo,7902.18,70
musica,music,6724.859999999998,38
moveis_colchao_e_estofado,furniture_mattress_and_upholstery,5904.75,37
dvds_blu_ray,dvds_blu_ray,5769.84,61
artigos_de_festas,party_supplies,5285.380000000001,42
livros_importados,books_imported,5150.940000000002,57
fashion_roupa_feminina,fashio_female_clothing,3218.44,45
fashion_esporte,fashion_sport,2657.55,29
la_cuisine,la_cuisine,2388.54,14
artes_e_artesanato,arts_and_craftmanship,2184.1400000000003,24
fraldas_higiene,diapers_and_hygiene,2046.19,37
flores,flowers,1598.9100000000005,33
casa_conforto_2,home_comfort_2,1170.58,30
cds_dvds_musicais,cds_dvds_musicals,954.9900000000002,14
fashion_roupa_infanto_juvenil,fashion_childrens_clothes,598.67,7
seguros_e_servicos,security_and_services,324.51,2
