month,monthly_revenue,monthly_orders
2016-09,143.46,3
2016-10,46394.74000000001,311
2016-12,19.62,1
2017-01,125568.7099999998,899
2017-02,259920.82999999958,1790
2017-03,406871.6299999992,2837
2017-04,380615.9600000007,2498
2017-05,554014.0300000018,3911
2017-06,484095.0600000041,3430
2017-07,562456.6700000059,4358
2017-08,639629.6300000041,4722
2017-09,693809.6400000007,4663
2017-10,733050.4700000008,5146
2017-11,1137391.7699999963,8356
2017-12,825707.2499999986,6050
2018-01,1053965.4800000002,7844
2018-02,951341.1299999976,7400
2018-03,1101474.760000001,7884
2018-04,1123553.8999999953,7753
2018-05,1122746.039999997,7766
2018-06,1008643.2599999972,6984
2018-07,1020887.2799999983,6903
2018-08,980656.6099999979,7106
